"name","desc"
"Hermès Vintage printed tie","Brown and blue silk printed tie from Hermès Vintage featuring a pointed tip. Please note that vintage items are not new and therefore might have minor imperfections. From 1990."
"Hermès Tie","Men's yellow and multicolor Hermès printed silk tie with logo at end."
"Hermès Tie","Men's navy and multicolor Hermès silk tie with musician and mountain motif and logo at end."
"Hermès Tie","Men's navy and multicolor Hermès silk printed tie with logo at end."
"Hermès Tie","Men's red and multicolor Hermès silk printed tie with logo at end."
"Hermès Tie","Men's chocolate brown, periwinkle and saffron Hermès silk necktie with geometric print throughout."
"Hermès Tie","Men's taupe, blue and red Hermès silk necktie with horse motif throughout."
"Hermès Tie","Men's white, black and pink Hermès silk tie with 'H' throughout and logo at end."
"Hermès Tie","Men's salmon and multicolor Hermès silk tie with swirl motif and logo at end."
"Hermès Tie","Men's peach, burgundy and ivory Hermès silk necktie with stripes and layered H motif."
"Hermès Tie","Men's green Hermès camel print necktie."
"Hermès Tie","Men's mint green Hermès silk printed necktie."
"Hermès Tie","Men's blue and multicolor Hermès woven printed silk tie with ornate pattern throughout."
"Hermès Silk Tie","Men's orange, brown and multicolor Hermès silk tie with floral motif."
"Hermès Tie","Men's sand, tan and multicolor Hermès silk necktie with rabbit motif."
"Hermès Vintage patterned tie","Brown and yellow silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit."
"Hermès Tie","Men's green, blue and purple Hermès silk necktie with stripes throughout."
"Hermès Tie","Men's mustard Hermès silk printed necktie."
"Hermès Tie","Men's green, yellow and multicolor Hermès silk necktie with rope motif."
"Hermès Tie","Men's yellow and taupe Hermès silk printed necktie."
"Hermès Tie","Men's Hermès gold, brown and multicolor circular print silk tie."
"Hermès Tie","Men's burgundy Hermès tie with golf course motif."
"Hermès Necktie","Men's blue and multicolor Hermès woven printed silk necktie with leaf design throughout."
"Hermès Tie","Men's blue and green Hermès silk tie."
"Hermès Tie","Men's grass Hermès silk dot print necktie."
"Hermès Tie","Men's yellow and multicolor Hermès printed silk tie with logo at end."
"Hermès Tie","Men's yellow and multicolor Hermès silk tie with wreath motif and logo at end."
"Hermès Tie","Men's yellow Hermès silk printed necktie."
"Hermès Tie","Men's green, yellow and navy Hermès silk necktie with geometric print throughout."
"Hermès Silk Tie","Men's green and cream Hermès silk striped necktie."
"Hermès Tie","Men's navy, burgundy and multicolor Hermès silk necktie with tropical motif."
"Hermès Tie","Men's ice blue, burgundy and multicolor Hermès silk necktie with harvest motif."
"Hermès Tie","Men's navy and multicolor Hermès silk tie with horse motif and logo at end."
"Hermès Tie","Men's pale yellow Hermès silk embroidered necktie."
"Hermès Tie","Men's navy, white and multicolor Hermès silk necktie with sailboat motif."
"Hermès Tie","Men's green Hermès silk print tie."
"Hermès Vintage jacquard tie","Grey and orange silk jacquard tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag to the rear. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage striped tie","Bordeaux silk tie from Hermès Vintage featuring a tonal striped print, a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size."
"Hermès Vintage patterned tie","Brown and green silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit."
"Hermès Vintage geometric pattern tie","Tonal blue silk geometric pattern tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Tie","Men's navy blue Hermès cherry print necktie."
"Hermès Ascot","Beige silk ascot with center pleating"
"Hermès Tie","Men's lime, blue and orange Hermès silk stripe necktie."
"Hermès Tie","Men's gold Hermès silk fish print necktie."
"Hermès Tie","Men's yellow Hermès silk printed necktie."
"Hermès Tie","Men's crimson, bone and black Hermès silk necktie with geometric print throughout."
"Hermès Tie","Men's lime and pistachio Hermès printed silk tie with 'H' throughout and logo at end."
"Hermès Tie","Men's deep pink, saffron and taupe Hermès silk necktie with geometric print throughout."
"Hermès Tie","Men's red, blue and yellow Hermès silk necktie with geometric print throughout."
"Hermès Tie","Men's raisin, bone and multicolor Hermès silk necktie with geometric print throughout."
"Hermès Tie","Men's steel blue, navy and multicolor Hermès silk necktie with geometric print throughout."
"Hermès Tie","Men's blue, green and multicolor Hermès silk necktie with horse motif."
"Hermès Tie","Men's red, blue and multicolor Hermès printed Silk Necktie."
"Hermès Tie","Men's blue, yellow and red Hermès silk printed necktie."
"Hermès Tie","Men's yellow and multicolor Hermès printed silk tie with logo at end."
"Hermès Silk Tie","Men's blue and gold Hermès printed silk tie."
"Hermès Tie","Men's burgundy, blue and multicolor Hermès silk necktie with French Flag motif."
"Hermès Tie","Men's red, sand and multicolor Hermès silk necktie with Egyptian motif."
"Hermès Tie","Men's brown and blue silk Hermès tie with dolphin motif."
"Hermès Tie","Men's beige Hermès silk printed necktie."
"Hermès Tie","Men's moss Hermès silk necktie with H motif."
"Hermès Tie","Men's vermillion, saffron and multicolor Hermès silk necktie with geometric tribal motif."
"Hermès Tie","Men's Blue and multicolor Hermès printed silk tie with logo at end."
"Hermès Tie","Men's yellow and multicolor Hermès printed silk tie with logo at end."
"Hermès Tie","Men's yellow and multicolor Hermès printed silk tie with logo at end."
"Hermès Tie","Men's golden brown, red and blue Hermès silk necktie with camel motif."
"Hermès Silk Necktie","Men's chocolate brown and pink Hermès silk necktie with abstract print throughout."
"Hermès Tie","Men's yellow, green and multicolor Hermès silk necktie with floral motif."
"Hermès Tie","Men's brown and steel blue Hermès silk necktie with clover leaf motif."
"Hermès Tie","Men's red, green and multicolor Hermès silk necktie with anchor motif."
"Hermès Tie","Men's midnight blue Hermès woven silk necktie."
"Hermès Tie","Men's red, steel blue and multicolor Hermès silk necktie with boat motif."
"Hermès Tie","Men's dark pink, steel blue and grey Hermès silk necktie with chain motif."
"Hermès Tie","Men's navy, pink and multicolor Hermès silk necktie with jockey motif."
"Hermès Tie","Men's violet, tan and midnight blue Hermès silk necktie with kayak motif."
"Hermès Tie","Men's light yellow Hermès silk printed necktie."
"Hermès Tie","Men's olive green Hermès silk printed necktie."
"Hermès Tie","Men's mustard Hermès silk printed necktie."
"Hermès Tie","Men's slate and brown Hermès silk printed necktie."
"Hermès Tie","Men's brown Hermès silk printed necktie."
"Hermès Tie","Men's red Hermès silk floral print necktie."
"Hermès Tie","Men's peach, tan and brown Hermès silk necktie with chain motif."
"Hermès Tie","Men's moss, saffron and multicolor Hermès silk necktie with centaur and horseman motif."
"Hermès Tie","Men's red and multicolor Hermès woven printed silk tie with ornate pattern throughout."
"Hermès Tie","Men's burgundy, orange and multicolor Hermès silk necktie with horse motif."
"Hermès Tie","Men's navy, red and multicolor Hermès silk necktie with lotus motif."
"Hermès Tie","Men's navy, green and multicolor Hermès silk necktie with floral motif."
"Hermès Tie","Men's brown, blue and multicolor Hermès silk necktie with tulip motif."
"Hermès Tie","Men's raspberry, bone and tan Hermès silk necktie with chain motif."
"Hermès Tie","Men's brown, putty and orange Hermès silk necktie with boot motif."
"Hermès Tie","Men's purple and multicolor Hermès silk printed tie."
"Hermès Tie","Men's red, mustard and multicolor Hermès silk necktie with watermelon and orange motif."
"Hermès Tie","Men's navy, red and multicolor Hermès silk necktie with hat motif."
"Hermès Tie","Men's pink, grey and multicolor Hermès silk necktie with belt motif."
"Hermès Tie","Men's green, red and tan Hermès silk necktie with pinwheel motif."
"Hermès Tie","Men's cream Hermès silk printed necktie."
"Hermès Tie","Men's light green and blue Hermès silk dolphin print tie."
"Hermès Tie","Men's blue, green, red and yellow Hermès silk printed tie."
"Hermès Tie","Men's burgundy, sand and multicolor Hermès silk necktie with geometric design."
"Hermès Tie","Men's blue, brown and multicolor Hermès silk necktie with leaf motif."
"Hermès Tie","Men's brown, blue and multicolor Hermès silk necktie with geometric design throughout."
"Hermès Tie","Men's red, saffron and multicolor Hermès silk necktie with butterfly motif."
"Hermès Tie","Men's steel blue, tan and multicolor Hermès silk necktie with floral motif."
"Hermès Tie","Men's red, sand and multicolor Hermès silk necktie with tomato motif."
"Hermès Tie","Men's steel blue, tan and multicolor Hermès silk necktie with magical story and fox motif."
"Hermès Tie","Men's tan, bone and multicolor Hermès silk necktie with flowerpot motif."
"Hermès Tie","Men's light yellow, ice blue and multicolor Hermès silk necktie with chain motif."
"Hermès Tie","Men's navy blue Hermès silk kangaroo print tie."
"Hermès Tie","Men's yellow Hermès silk printed tie."
"Hermès Tie","Men's black, burgundy and multicolor Hermès silk necktie with striped chain motif."
"Hermès Tie","Men's red, brown and black Hermès silk necktie with rope chain motif."
"Hermès Tie","Men's blue and ivory Hermès silk necktie with ornate rope motif throughout."
"Hermès Tie","Men's pink and navy Hermès silk necktie with ornate dtripe and deconstructed polka dot design."
"Hermès Tie","Men's green, navy and multicolor Hermès silk necktie with lily pad and lotus design throughout."
"Hermès Tie","Men's olive green Hermès silk horse print tie."
"Hermès Tie","Men's olive grey Hermès silk printed tie."
"Hermès Tie","Men's purple Hermès silk printed necktie."
"Hermès Tie","Men's orchid Hermès silk printed necktie."
"Hermès Tie","Men's yellow Hermès silk umbrella print tie."
"Hermès Tie","Men's grass Hermès silk H print tie."
"Hermès Tie","Men's pink Hermès silk iridescent embroidered tie."
"Hermès Tie","Men's pink Hermès silk striped tie."
"Hermès Tie","Men's mango Hermès silk printed tie."
"Hermès Tie","Men's light green Hermès silk ice fishing print tie."
"Hermès Tie","Men's navy blue Hermès silk iconic figure print tie."
"Hermès Tie","Men's navy blue Hermès silk embroidered tie. Includes original box."
"Hermès Tie","Men's red Hermès silk printed tie."
"Hermès Tie","Men's green Hermès silk bird and plane print tie."
"Hermès Tie","Men's blue Hermès silk printed tie."
"Hermès Tie","Men's navy, green and yellow Hermès silk necktie with geometric motif."
"Hermès Tie","Men's navy, yellow and steel blue Hermès silk necktie with star motif."
"Hermès Tie","Men's navy, red and orange Hermès silk necktie with ornate motif."
"Hermès Tie","Men's forest green Hermès silk cotton print tie."
"Hermès Tie","Men's navy blue Hermès silk cotton print tie."
"Hermès Tie","Men's light blue Hermès silk cotton print tie."
"Hermès Tie","Men's red Hermès mushroom print tie."
"Hermès Tie","Men's Hermès silk tie with basket and berry motif."
"Hermès Tie","Men's navy blue Hermès silk printed tie."
"Hermès Tie","Men's fuchsia and light blue Hermès silk printed tie."
"Hermès Tie","Men's burgundy and red Hermès silk printed tie."
"Hermès Tie","Men's red and light blue Hermès silk printed tie."
"Hermès Tie","Men's light yellow Hermès silk cotton print tie."
"Hermès Vintage classic tie","Green silk classic 90s tie from Hermès Vintage featuring a pointed tip and a branded rear patch. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage patterned tie","Brown silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size."
"Hermès Vintage floral tie","Black and white silk floral tie from Hermès Vintage."
"Hermès Vintage floral tie","Red and green silk floral tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage chain link motif tie","Tonal blue silk chain link motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage geometric pattern tie","Pink and white silk geometric pattern tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage chain link motif tie","Red and grey silk chain link motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage pumpkin motif tie","Orange silk pumpkin motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage dove motif tie","Pink and white silk dove motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage reindeer tie","Blue silk reindeer tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage patterned tie","White and red silk patterned tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage geometric pattern tie","Blue silk geometric pattern tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage patterned tie","Black and white silk patterned tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage owl motif tie","Blue and red silk owl motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage classic tie","Blue silk classic tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage sunflower tie","Blue and yellow silk sunflower tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage chain link motif tie","Blue and grey silk chain link motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage geometric pattern tie","Green and grey silk geometric pattern tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage chain link motif tie","Green and grey silk chain link motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage horse motif tie","Green and blue silk horse motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage zebra tie","Pink and white silk zebra tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage tree motif tie","Pink and yellow silk tree motif tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage patterned tie","Tonal blue silk patterned tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage geometric pattern tie","Purple and green silk geometric pattern tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage desert tie","Multicolour silk desert tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage ribbed tie","Dark blue silk ribbed tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage bear motif tie","Blue and brown silk bear motif tie from Hermès Vintage."
"Hermès Vintage patterned tie","Black and white silk patterned tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage elephant tie","Pink and grey silk elephant tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage paisley tie","Multicolour silk paisley tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections."
